"SubjectNo","Activity","ave_tBodyAcc_mean_X","ave_tBodyAcc_mean_Y","ave_tBodyAcc_mean_Z","ave_tBodyAcc_std_Z"
"1","walking",0.277330758736842,-0.0173838185273684,-0.111148103547368,-0.283740258842105
"1","walkingUpstairs",0.255461689622641,-0.0239531492643396,-0.0973020020943396,-0.35470802509434
"1","walkingDownstairs",0.289188320408163,-0.00991850461020408,-0.107566190908163,0.0300353383483878
"1","sitting",0.261237565425532,-0.00130828765170213,-0.104544182255319,-0.977229008297872
"1","standing",0.278917629056604,-0.0161375901037736,-0.110601817735849,-0.995759901509434
"1","laying",0.22159824394,-0.0405139534294,-0.11320355358,-0.9280564692
"2","walking",0.276426586440678,-0.0185949199145763,-0.105500357966102,-0.423642838474576
"2","walkingUpstairs",0.247164790395833,-0.0214121132045833,-0.152513899520833,-0.304376406458333
"2","walkingDownstairs",0.27761534806383,-0.0226614158361702,-0.116812942382979,0.0463666814446808
"2","sitting",0.27708735173913,-0.0156879937282609,-0.109218272456522,-0.986822279565217
"2","standing",0.277911472222222,-0.0184208270166667,-0.105908536055556,-0.987271889259259
"2","laying",0.281373403958333,-0.0181587397583333,-0.107245610416667,-0.974059464791667
"3","walking",0.275567462068966,-0.0171767844203448,-0.112674859827586,-0.360356726034483
"3","walkingUpstairs",0.260819873067797,-0.0324109410555932,-0.110064863437288,-0.313123437627119
"3","walkingDownstairs",0.292423484693878,-0.0193554079328571,-0.116139842908163,-0.0574100475102041
"3","sitting",0.257197599134615,-0.00350299841730769,-0.0983579203269231,-0.971010120961538
"3","standing",0.280046513278689,-0.0143376555065574,-0.101621722633148,-0.96674254295082
"3","laying",0.275516852741935,-0.0189556785048387,-0.101300477506452,-0.982776639193548
"4","walking",0.278582015166667,-0.0148399475341667,-0.11140306485,-0.440829971333333
"4","walkingUpstairs",0.270876696730769,-0.0319804295729615,-0.114219455519231,-0.204933042903846
"4","walkingDownstairs",0.279965329555556,-0.00980200850666667,-0.1067775246,0.0111935496222222
"4","sitting",0.27153827992,-0.007163065158,-0.10587459588,-0.980309931
"4","standing",0.280499745892857,-0.00948911098553571,-0.0961574905535714,-0.97692058
"4","laying",0.263559214981481,-0.0150031841055556,-0.110688150314815,-0.954193738888889
"5","walking",0.27784234625,-0.0172850317482679,-0.107741776464286,-0.294098534232143
"5","walkingUpstairs",0.268459469914894,-0.0325269755153191,-0.107471453914894,-0.0457237779851064
"5","walkingDownstairs",0.29354392712766,-0.00850107533191489,-0.100319930659574,0.275046110468085
"5","sitting",0.273694139545455,-0.00990083527045455,-0.108540300265909,-0.980945022045455
"5","standing",0.282544390892857,-0.00700418554517857,-0.102171095696429,-0.968591815714286
"5","laying",0.278334325576923,-0.0183042123269231,-0.107937603673077,-0.965934509615385
"6","walking",0.283658868070175,-0.0168954189082456,-0.110303165877193,-0.296538717368421
"6","walkingUpstairs",0.268229355098039,-0.0272425385070588,-0.122082438784314,-0.0501350188513725
"6","walkingDownstairs",0.277045258145833,-0.019536840063125,-0.107209356208333,0.383681639791667
"6","sitting",0.276778487454545,-0.0145911615290909,-0.110127728709091,-0.980164933636364
"6","standing",0.280346248596491,-0.0181236327175439,-0.112172831947368,-0.981758159649123
"6","laying",0.248656520140351,-0.0102529170561404,-0.133119570368421,-0.934049422052632
"7","walking",0.275592961754386,-0.018653665345614,-0.110912234947368,-0.327243240701754
"7","walkingUpstairs",0.248706923078431,-0.0275639005607843,-0.143769688803922,-0.29487297445098
"7","walkingDownstairs",0.28030708,-0.0166332372978723,-0.096938308587234,0.0660815600978723
"7","sitting",0.284674637291667,-0.01461097580375,-0.122464597625,-0.972668374583333
"7","standing",0.282723539433962,-0.0145740341037736,-0.0997778303207547,-0.979307570377358
"7","laying",0.250176694038462,-0.0204411516884615,-0.101361036576923,-0.93651361
"8","walking",0.27468631,-0.0186628865310417,-0.107252090833333,-0.173605736002083
"8","walkingUpstairs",0.258880152048781,-0.0282415136341463,-0.11512211995122,-0.171712174634146
"8","walkingDownstairs",0.283484089210526,-0.0211058674973684,-0.107598135394737,0.0241393473736842
"8","sitting",0.267491472934783,-0.00672550621304348,-0.104461049130435,-0.979026152391304
"8","standing",0.279620986111111,-0.0148113067148148,-0.106114996837037,-0.988815418148148
"8","laying",0.261254282907407,-0.0212281733881481,-0.102245365611111,-0.94304121537037
"9","walking",0.278502842115385,-0.0180891971284423,-0.110820512307692,-0.238353562692308
"9","walkingUpstairs",0.262436475714286,-0.0195101099975714,-0.125219003959184,-0.36144437755102
"9","walkingDownstairs",0.295923445,-0.0203994269075476,-0.0910278793952381,0.213392270547619
"9","sitting",0.24832674354,-0.02701677698,-0.07537846886,-0.9572277914
"9","standing",0.282310057333333,-0.0200454954022222,-0.0952747481333333,-0.975741252444444
"9","laying",0.2591955368,-0.020526821662,-0.10754972144,-0.94233309
"10","walking",0.278574076603774,-0.017022351190566,-0.109057512132075,-0.178709734396226
"10","walkingUpstairs",0.267121853404255,-0.0143854920340426,-0.118180420834043,-0.161591924234043
"10","walkingDownstairs",0.290401594315789,-0.0200050770710526,-0.110848597247368,0.295733547631579
"10","sitting",0.270612056481481,-0.015042681852037,-0.104253238796296,-0.982901825925926
"10","standing",0.276650300681818,-0.0155418603409091,-0.107964083931818,-0.978403481818182
"10","laying",0.280230574137931,-0.024294484137931,-0.117168642362069,-0.968283685
"11","walking",0.271821892881356,-0.0166475833623729,-0.106096304033898,-0.422842071864407
"11","walkingUpstairs",0.263775859277778,-0.0303157822055556,-0.106797216481481,-0.238802959018519
"11","walkingDownstairs",0.291605631956522,-0.0178097721219565,-0.111070149978261,0.142456557034783
"11","sitting",0.276590197358491,-0.0149195616754717,-0.112840218339623,-0.982796562075472
"11","standing",0.277715562765957,-0.0171990886595745,-0.108686630425532,-0.994978878723404
"11","laying",0.280592970877193,-0.0176598052315789,-0.108786578070175,-0.98477733
"12","walking",0.2771286656,-0.015560927606,-0.10316110632,-0.128898533096
"12","walkingUpstairs",0.272970338653846,-0.0263574903403846,-0.107339730115385,-0.290149192307692
"12","walkingDownstairs",0.281521097391304,-0.018084266865793,-0.10955593226087,0.0424084916086956
"12","sitting",0.275007224901961,-0.0157892988523529,-0.106307228960784,-0.982568781960784
"12","standing",0.277405834918033,-0.0169002543196721,-0.105526999754098,-0.981243992459016
"12","laying",0.260113433,-0.0175203917146667,-0.108160125666667,-0.95531868
"13","walking",0.275883130350877,-0.0185660651947368,-0.111431456192982,-0.346980394210526
"13","walkingUpstairs",0.258203939581818,-0.0277392253910909,-0.125767265890909,-0.296284597454545
"13","walkingDownstairs",0.294907553404255,-0.0143723839108511,-0.101993941531915,-0.0681563626617021
"13","sitting",0.274328499591837,-0.00587732936326531,-0.0972465110836735,-0.989546275306122
"13","standing",0.277758431052632,-0.0167891993964912,-0.112124137754386,-0.991020759298246
"13","laying",0.276716360483871,-0.020440454366129,-0.104331864532258,-0.968891989354839
"14","walking",0.271959598644068,-0.0217785380966102,-0.106756369135593,-0.402639098135593
"14","walkingUpstairs",0.26242106612963,-0.0204388180024074,-0.112279688983333,-0.309396717592593
"14","walkingDownstairs",0.293422115555556,-0.0200141413657778,-0.0928330165533333,0.0178313402266667
"14","sitting",0.279990577037037,-0.00870565463888889,-0.100401490425926,-0.976302248148148
"14","standing",0.280545613833333,-0.01520781344,-0.103817701790667,-0.973268905
"14","laying",0.233275439803922,-0.0113424652490196,-0.0868333315509804,-0.917501887333333
"15","walking",0.273899207962963,-0.0170809740090741,-0.107621819518519,-0.327961801111111
"15","walkingUpstairs",0.270187595833333,-0.0287523860708333,-0.116952464895833,-0.0260971840270833
"15","walkingDownstairs",0.280198851190476,-0.00563047804309524,-0.110526066428571,0.406471051190476
"15","sitting",0.27290337979661,-0.0117188472271186,-0.11366125320339,-0.987084356101695
"15","standing",0.278915803962264,-0.0183516360396226,-0.105910832679245,-0.988949247358491
"15","laying",0.2894756525,-0.0166296542054167,-0.118530240291667,-0.972255551527778
"16","walking",0.276023564509804,-0.0204286929452941,-0.108804049803922,-0.404692523921569
"16","walkingUpstairs",0.255986102627451,-0.0143654945011765,-0.124074517745098,-0.397083831568627
"16","walkingDownstairs",0.295586802191489,-0.0183898583787234,-0.119873705148936,0.207251997929787
"16","sitting",0.280768574492754,-0.0102497939956522,-0.0891404038405797,-0.986825605362319
"16","standing",0.283497402948718,-0.0165999672935897,-0.103657729076923,-0.989076811794872
"16","laying",0.274227162571429,-0.0166103510562857,-0.107310493242857,-0.973691429428571
"17","walking",0.272341855245902,-0.0184875403339344,-0.109792122032787,-0.31950017295082
"17","walkingUpstairs",0.252604768583333,-0.0228645614308333,-0.121290442104167,-0.062952754100625
"17","walkingDownstairs",0.29391828326087,-0.0167359404347826,-0.0892432745173913,0.187719760269565
"17","sitting",0.2773570196875,-0.014156274084375,-0.11362408509375,-0.9944439053125
"17","standing",0.277942503333333,-0.0174120064169231,-0.111432145565,-0.991163919871795
"17","laying",0.269780085577465,-0.0168462006729577,-0.107006279704225,-0.972960567323944
"18","walking",0.273887758571429,-0.0178023631866071,-0.104218315464286,-0.37600552125
"18","walkingUpstairs",0.265401201896552,-0.0222060684378914,-0.112655891327586,-0.380168286724138
"18","walkingDownstairs",0.288439468909091,-0.0168666920221818,-0.1033908092,-0.302634565090909
"18","sitting",0.27727001877193,-0.0128691279736842,-0.111904775824561,-0.994347988596491
"18","standing",0.278458805890411,-0.0166353518150685,-0.108453355945205,-0.992019762739726
"18","laying",0.274691576923077,-0.0173937684615385,-0.107698927907692,-0.984527649230769
"19","walking",0.273931172307692,-0.0191773587903846,-0.122736673192308,-0.0489049407963462
"19","walkingUpstairs",0.242118808925,-0.0303986615775,-0.151054607725,-0.1287420952375
"19","walkingDownstairs",0.262688053871795,-0.0145942275069487,-0.133695240660974,0.626917070512821
"19","sitting",0.273830316164384,-0.016739260030137,-0.10870765430137,-0.976357663013699
"19","standing",0.27817226,-0.0154244056945205,-0.10904190460274,-0.989910996849315
"19","laying",0.272653733493976,-0.0171426864421687,-0.10898146186747,-0.965019579518072
"20","walking",0.272589336470588,-0.021199992245098,-0.113539477098039,-0.208342792019608
"20","walkingUpstairs",0.252098317156863,-0.0282258047588235,-0.121023947784314,-0.116088676011765
"20","walkingDownstairs",0.296144421355556,-0.00964120773155556,-0.104602925937778,0.0745098785288889
"20","sitting",0.278045439090909,-0.0147229305131818,-0.108369634515152,-0.983081858939394
"20","standing",0.278076904657534,-0.0180695049161644,-0.100402759931507,-0.967209961232877
"20","laying",0.239507882205882,-0.0144406281132353,-0.104274322538235,-0.962249114705882
"21","walking",0.279183526730769,-0.0181610317526923,-0.104319332403846,-0.297814843538462
"21","walkingUpstairs",0.265194544680851,-0.0237218695148936,-0.125414265340426,-0.240808282276596
"21","walkingDownstairs",0.3014610196,-0.0173195390157778,-0.09816866218,0.224343492244444
"21","sitting",0.277539616823529,-0.0144009705494118,-0.112057887741176,-0.991777287176471
